id,category,checksum,created_at,date,human,m,platform_version,region,updated_at,y
66,0,b851a653-5a24-47c3-4611-03e39512a5f4,,366681600,"Aug 15, 1981",8,,8,,1981
65,0,54031656-8f26-dd06-8ac6-445f32b7a33f,,1287619200,"Oct 21, 2010",10,,1,,2010
64,0,85d48f7a-db39-b0ac-b263-81ceee066f25,,1289174400,"Nov 08, 2010",11,,2,,2010
63,0,67a111cb-a91a-2877-1efc-1a4a50983a59,,1183075200,"Jun 29, 2007",6,,8,,2007
43,0,1e855b97-f064-70cc-68c8-45cd7b595a31,,1253059200,"Sep 16, 2009",9,,8,,2009
17,0,19fa575d-3f98-9c2f-576f-13e27246a47a,,659145600,"Nov 21, 1990",11,,5,,1990
14,0,b5734870-8833-3c82-5a73-e63c80f7bf91,,1385078400,"Nov 22, 2013",11,,8,,2013
312,0,641479a4-2de1-672f-0d23-4997ba66a2bc,,682819200,"Aug 22, 1991",8,,2,,1991
309,0,603ef8f7-9e58-e661-f1a7-74903281c18e,,690076800,"Nov 14, 1991",11,,1,,1991
257,0,5b0608f5-6905-ae79-f86f-f38cb73d4886,,1003968000,"Oct 25, 2001",10,,8,,2001
255,0,a26ddce6-eba9-a623-33f2-fb67e0b4fcad,,1458086400,"Mar 16, 2016",3,,8,,2016
254,0,58c8a4c1-d725-bc64-4d11-b9e750416900,,1407110400,"Aug 04, 2014",8,,8,,2014
253,0,69adae92-f6a9-3fe8-c01d-5d39c81551d2,,1351468800,"Oct 29, 2012",10,,8,,2012
252,0,6c25b375-b90f-8f03-19a2-fe16a4d6d30e,,1287619200,"Oct 21, 2010",10,,8,,2010
251,0,c004db4d-6906-f17b-4479-a0ab264eb429,,1287619200,"Oct 21, 2010",10,,1,,2010
250,0,bf99d270-908b-229f-a64e-1d4f768fdcbd,,1289174400,"Nov 08, 2010",11,,2,,2010
247,2,8203e6ca-e2f0-b20e-f6a6-e2a524cb1c92,,283910400,1978,12,,8,,1978
246,2,a225d057-6780-c6d7-a59f-bf93e51539ff,,252374400,1977,12,,8,,1977
248,2,99ef5e2f-d81e-4788-e3de-4b538f1bf118,,315446400,1979,12,,8,,1979
245,2,99d8d4b5-4297-ccae-46cd-a2c732fcd696,,283910400,1978,12,,8,,1978
243,2,04961444-069a-e296-0797-e365c28969dd,,252374400,1977,12,,8,,1977
242,2,8dd07020-582b-f9d7-e1ae-d7a96f72343a,,252374400,1977,12,,8,,1977
249,0,11e2be3d-b6a9-ab60-c7fe-1d6e6b4b3052,,1510012800,"Nov 07, 2017",11,,8,,2017
240,2,9509cbec-8ff3-64e9-fd65-4f1b658dc913,,252374400,1977,12,,8,,1977
238,0,14c54989-9270-c52d-e866-a0bb09b83b15,,699408000,"Mar 01, 1992",3,,8,,1992
241,2,85d98742-3bdf-b4e4-a4a1-cfff13fb12b7,,252374400,1977,12,,8,,1977
244,2,70adab62-5656-0664-80bc-757026e9563c,,283910400,1978,12,,8,,1978
237,0,2fefe33d-3cf7-75a9-34c6-926f2229255e,,1271289600,"Apr 15, 2010",4,,3,,2010
232,0,f765962e-03ad-fffb-76c8-03bfbeec6e86,,1238716800,"Apr 03, 2009",4,,1,,2009
235,0,7ade430a-b5c6-cfa2-168c-178a84ae71df,,1267747200,"Mar 05, 2010",3,,1,,2010
231,0,400e7997-66c7-6bcf-f531-e81f73f19eba,,1238630400,"Apr 02, 2009",4,,4,,2009
233,0,d7310eb4-b9d8-48e5-afb8-56e8b9560f3a,,1238889600,"Apr 05, 2009",4,,2,,2009
236,0,17182677-6e24-2f67-51fe-075a21fa50b9,,1269734400,"Mar 28, 2010",3,,2,,2010
234,0,86df943a-5091-4337-a88c-850b2748fd86,,1258761600,"Nov 21, 2009",11,,5,,2009
229,0,50a0e592-b1b5-e955-10fb-f995122f9408,,1225497600,"Nov 01, 2008",11,,5,,2008
230,0,fea99fb8-dce5-a039-28e6-2d0954f962d5,,1238630400,"Apr 02, 2009",4,,3,,2009
227,0,12c98464-a4fe-c069-32d6-19028015fa42,,1149984000,"Jun 11, 2006",6,,2,,2006
226,0,53c865a6-985b-ef78-1c17-822d27852cba,,1149120000,"Jun 01, 2006",6,,3,,2006
224,2,bf5a83b9-c84d-3955-a6e8-67e063512b0f,,694137600,1991,12,,8,,1991
228,0,c2d1fd71-be39-93c9-3e5b-e668873b28d4,,1151020800,"Jun 23, 2006",6,,1,,2006
221,0,deab1880-ed7d-d837-bb04-585c5edc7b95,,815097600,"Oct 31, 1995",10,,1,,1995
222,0,8c3987b6-724d-1668-9c0f-7924132c6da8,,873849600,"Sep 10, 1997",9,,8,,1997
216,2,8a11ba3e-5497-b147-0f59-b2e39978964a,,315446400,1979,12,,2,,1979
218,6,adbad578-21b0-33de-7e11-e891c8cbf3ae,,1514678400,Q4 2017,12,,8,,2017
205,0,96f898a0-504f-6e84-012a-721f4683c9d6,,890956800,"Mar 27, 1998",3,,5,,1998
12,0,36b59c12-e49e-01a3-3ab0-5f7db48d93a9,,1385683200,"Nov 29, 2013",11,,3,,2013
1,0,b9365483-40a2-88ab-be8b-c20179db08f8,,1256169600,"Oct 22, 2009",10,,8,,2009
556,1,6dacfc55-df1e-4eda-71c5-9403f91ac551,,549504000,Jun 1987,6,,1,,1987
539,0,0a5350a2-e2e4-87e8-a9b6-98b584692926,,1592438400,"Jun 18, 2020",6,,8,,2020
344,0,7029a846-a7ca-a31c-4d4a-d5fd62bc1953,,1254355200,"Oct 01, 2009",10,,2,,2009
440,0,98e1c0cd-c970-baa0-b077-b3283de6c874,,1243209600,"May 25, 2009",5,,8,,2009
439,1,7d535709-9bd7-4f81-b832-b36441a89364,,917827200,Feb 1999,2,,3,,1999
441,0,07b50a9c-43bf-3039-a01a-d2f46d3db18b,,1257292800,"Nov 04, 2009",11,,8,,2009
438,1,f881c812-e0ad-166d-80f9-6aded89dcf60,,888710400,Mar 1998,3,,1,,1998
545,2,0e2e5722-0ba8-8cb0-ac84-6fe898566a67,,473299200,1984,12,,8,,1984
543,2,2d88e33e-ebbf-ad79-7cc2-ad671fbf3c14,,283910400,1978,12,,8,,1978
550,1,799ff5a3-af54-7652-0a10-759db53009b0,,336614400,Sep 1980,9,,8,,1980
547,1,687f3d0f-99de-e4f6-7805-da66854a34d8,,404956800,Nov 1982,11,,8,,1982
557,1,193d6997-c90b-e34a-6d52-d7863f951ce3,,494380800,Sep 1985,9,,8,,1985
552,1,510e7097-9c69-8059-d1a7-fab121be151c,,220924800,Jan 1977,1,,8,,1977
551,1,7f36011e-446c-f7d5-99de-bc46a3639ff7,,373420800,Nov 1981,11,,8,,1981
548,2,a7bb5429-48d2-1e17-af5a-03bdfc2eb0a9,,315446400,1979,12,,8,,1979
544,2,0e0db9a0-b476-0b19-e6bb-c656a2f22fb4,,220838400,1976,12,,8,,1976
436,1,94c9f226-7be2-6444-cea6-2fff478eaf10,,852076800,Jan 1997,1,,7,,1997
435,0,18eb1ba4-adeb-de33-f930-95288ce153b4,,846806400,"Nov 01, 1996",11,,5,,1996
