id,category,checksum,trusted,url
272,1,ef3f9fb7-fdd6-abf1-ad00-ff153b5217be,False,https://en.wikipedia.org/wiki/Cassette_Vision
273,1,473aeab2-1070-32ab-d1d5-4dac3b19f77c,False,https://en.wikipedia.org/wiki/Super_Cassette_Vision
274,1,324b892c-c6c1-d4cd-34ee-fea5b303f63d,False,https://en.wikipedia.org/wiki/PC_Engine_SuperGrafx
275,1,a7efb7b1-a1fa-fa0c-4f6a-d0d5162c71c3,False,http://wii.com/
276,1,597097b1-e7e5-49b6-020a-7b742f8d88c3,False,https://sega.com
277,1,f4bba1fd-a554-7646-f359-ff031dc09e9a,False,https://en.wikipedia.org/wiki/Handheld_TV_game
278,1,6a8e65b8-4af0-09f0-528c-7d8d67066995,False,https://play.date/
279,1,7fae086a-2d1d-598f-b343-a901d47623f4,False,https://intellivision.com/
280,1,7322f4c7-13c6-2cf6-c611-bca6c12c2b20,False,https://stadia.google.com
281,1,5c31ccf4-135a-928e-2812-76bb6aa65ff3,False,https://www.playstation.com/en-us/ps5/
282,1,7379d10e-d363-6363-dd46-946472f83d20,False,https://www.oculus.com/
283,1,7379d10e-d363-6363-dd46-946472f83d20,False,https://www.oculus.com/
284,1,5faa775d-aef6-6d85-ffc5-33a5301e11c6,False,https://www.oculus.com/quest-2/
285,1,7379d10e-d363-6363-dd46-946472f83d20,False,https://www.oculus.com/
286,1,1381a674-9dcd-2264-5837-672ba50d677a,False,https://www.samsung.com/global/galaxy/gear-vr/
287,1,5d68d801-bbc6-446b-9a93-9c1f8f53c41f,False,https://www.oculus.com/experiences/rift/
288,1,a7ed1863-18da-2953-6740-e9092d262280,False,https://www.oculus.com/experiences/quest/
289,1,b0e732ee-97da-ef6f-f08a-e802f50895b3,False,https://web.archive.org/web/19970605012105/http://www.nintendo.co.jp/n03/index.html
290,1,678a2fba-acfa-5255-d311-9fee596b03b1,False,https://en.m.wikipedia.org/wiki/Gamate
291,1,664daca7-47ff-05dd-960c-06a5a9673b8d,False,https://www.airconsole.com/
292,1,7764d80f-938f-ca85-c230-3c1cc8da87df,False,https://www.nintendo.co.uk/Hardware/Nintendo-History/Nintendo-GameCube/Nintendo-GameCube-627129.html
293,1,f7bce179-96a7-3291-f95c-72b0d1391e42,False,https://en.wikipedia.org/wiki/Mobile_device
304,1,c6756253-bc81-77ea-5415-0db3ef3b3353,False,https://web.archive.org/web/20080724075729/http://www.microsoft.com/windowsmobile/en-us/default.mspx
305,1,7229ac5c-06cc-d855-25d5-8c4e7badd2ea,False,https://en.wikipedia.org/wiki/Gamate
306,1,60870e74-ef6f-8c18-f265-a6b36e1f0793,False,https://en.wikipedia.org/wiki/HyperScan
307,1,809552f1-58fe-2ec5-f6d7-6ca0bbacda67,False,https://en.wikipedia.org/wiki/Mega_Duck
308,1,296d05ce-b310-019f-25d2-cf98ce017f13,False,https://en.wikipedia.org/wiki/Sinclair_QL
309,1,cdd962d3-b981-8104-a822-ab05782fa729,False,https://en.wikipedia.org/wiki/Game.com
310,1,dbef2fe4-13c0-7e5b-b5c8-9b7c06b40912,False,https://en.wikipedia.org/wiki/Atari_Jaguar_CD
311,1,30507cf6-5135-85b5-a58d-7966404c6fb4,False,https://en.wikipedia.org/wiki/Leapster
312,1,aa5afcae-05f1-c045-dcb8-e0cdf4fde466,False,https://en.wikipedia.org/wiki/Leapster_Explorer
313,1,59cc7422-5763-85bf-c1f9-fe5fdcbfa206,False,https://en.wikipedia.org/wiki/LeapTV
314,1,e4f2ecb1-5159-4bd8-a9aa-429f993a5cc8,False,https://en.wikipedia.org/wiki/Watara_Supervision
315,1,47c00e6a-28e3-ffab-6bcb-acdf275e8a66,False,https://en.wikipedia.org/wiki/64DD
316,1,d1b71aed-db2d-0f1f-a9a1-c5eea998198c,False,https://en.wikipedia.org/wiki/Palm_OS
337,1,2ac7872c-9f75-de60-7578-e6921be47497,False,https://www.arduboy.com/
338,1,b4fb775f-d07e-4d65-6650-948db72b3471,False,https://en.wikipedia.org/wiki/V.Smile
339,1,7bb7b413-108b-23a8-b7d5-5c65fb15067b,False,https://en.wikipedia.org/wiki/VMU
340,1,2fc59d02-156c-19d4-46b9-a0f4d58a1453,False,https://en.wikipedia.org/wiki/PocketStation
341,1,255a3fc5-1b51-6b83-8f51-dcb8b63f8000,False,https://www.meta.com/quest/
342,1,35bac5aa-068d-b5fa-4a9f-4374f0c121b9,False,https://www.playstation.com/en-us/ps-vr2/
370,1,4aeefeb6-6be1-81e6-9b60-b1d60408f220,False,https://www.meta.com/quest/quest-3/
371,1,d3afc5c7-7897-3070-7515-aa92ea88f06b,False,https://en.wikipedia.org/wiki/PC-98
