id,checksum,comment,company,developer,manufacturer
286,e5035f31-713a-1036-2968-dd353b74db3b,,11986,True,True
283,6cd3e57c-2757-cc07-94a6-35ff7085e4c9,,10922,False,True
282,172b6f24-a49c-c304-6fb3-78f6bf120a19,,14429,False,True
281,d6051460-e7dc-4e77-80ca-e5df378cd304,,12385,True,False
277,2535bd8f-99f1-bdcf-e4e0-6cee0ae67415,Currently known as Sony Interactive Entertainment LLC.,18564,False,True
279,787003d1-9867-655c-489b-e756e7b23b57,,12385,True,True
275,0dfbbf64-c422-7dfa-501e-cde57b6ed470,Currently known as Sony Interactive Entertainment LLC.,45,False,True
272,c05a45c2-931b-6151-b1b2-b9848b850db0,Currently known as Sony Interactive Entertainment LLC.,45,False,True
274,f2229e45-7779-0691-bfe8-c3229a32463a,Currently known as Sony Interactive Entertainment LLC.,45,False,True
269,23503e2a-ba7a-98e2-4c00-5d0ab1658a4a,Currently known as Sony Interactive Entertainment LLC.,45,False,True
268,282a9bbc-f4a0-55b6-e9a1-79154fa0a6f2,Currently known as Sony Interactive Entertainment LLC.,18564,False,True
267,01301aad-b713-3050-4baf-9106ce8b1917,,2123,False,True
265,7e2a345c-295b-24cb-1d07-9b8c9fe4591c,,70,True,True
266,0680210b-5e69-c5cb-7ae5-9b44b01039ef,Nintendo Platform Technology Development,70,True,False
264,ed3447cd-a033-4c0d-6912-d09dd28ea572,,70,True,True
263,a2144164-cea5-c7f3-f0e2-f655e9857c72,,56,True,False
262,c189872b-c999-933a-9e86-1c9ce2a6badf,,70,True,True
256,56e19efe-6891-7c7d-2103-dbe22a398fde,,2123,False,True
255,6484e1f0-cf7a-968c-4b3c-418c18c31e30,,2123,False,True
252,6ec9fa6d-d657-2d19-4181-103b74af732e,,16834,False,True
253,80c3ffb6-e4e3-f215-a074-6f55e0320328,,11986,True,False
250,c8281ee5-5ee7-31e3-73fd-23566dafc3d7,,12225,False,False
245,2ea2a721-e140-ec87-57cb-93269a56d909,,12385,True,False
244,453317e3-00ea-f24e-4c86-0d1c2826abd1,,12385,True,False
239,545ecc85-1189-6443-fef5-14acf161fef4,,1474,True,True
242,49c44d1e-9c23-d266-45da-c399995141cb,,12385,True,False
181,5af427cd-a239-3ff5-85b5-810a5ecded50,,128,True,False
187,2096e62b-24c1-5e82-b246-8b125a9d5b26,,11986,True,True
231,57139e65-f4bf-efa0-8258-7dfc8a56c331,,14859,True,False
361,f70426c9-fd9e-a2a9-b1e1-33bb1086225f,,10032,True,True
453,d0b50824-77a5-8b11-dcd0-43d683f4079c,,1010,True,True
450,5228f7ea-f3ad-7188-b69b-dfc67ca9cb56,,14859,False,True
449,1e6158bc-e945-dee2-18c4-678af53fd407,,14859,False,True
448,a7606eec-a9d5-291c-b241-990cf13ce956,,20173,False,True
