id,checksum,created_at,games,name,slug,updated_at,url
1367,9012743a-341a-aff8-47a3-0599063d7901,1431222509,"[6942, 6943]",Condemned,condemned,1692900841,https://www.igdb.com/collections/condemned
1426,9d2996fc-f31c-624b-f5da-7b671ae036e8,1432820795,"[3268, 10752]",Ravaged,ravaged,1691632259,https://www.igdb.com/collections/ravaged
4303,77803b22-c548-cbc2-2777-a52aa76fcf3c,1512720978,"[886, 887, 7178, 7179, 7180, 21421, 22823, 41582, 41583, 204630]",SBK: Superbike World Championship,sbk-superbike-world-championship,1686529623,https://www.igdb.com/collections/sbk-superbike-world-championship
2021,2044dab8-94b4-4e3e-385a-4a3000e7584e,1453736996,"[8349, 16544]",Dead State,dead-state,1692246528,https://www.igdb.com/collections/dead-state
487,18c7052e-140c-0d69-1a72-82922d48a07c,1373049366,"[2460, 2516, 2523, 10856]",Ishar,ishar,1692620823,https://www.igdb.com/collections/ishar
7719,add9841f-8472-1539-fef7-5f45c218fd1b,1648641778,[194897],Order from Caos,order-from-caos,1648641822,https://www.igdb.com/collections/order-from-caos
8174,0d928b2f-07f3-61e1-8b88-a369b1d320c2,1661214939,[214148],Bell's Avenue,bells-avenue,1661214959,https://www.igdb.com/collections/bells-avenue
1939,53d92112-5f5c-a41b-f815-f38f001b51e4,1449843593,"[8354, 15140]",Splosion Man,splosion-man,1685344693,https://www.igdb.com/collections/splosion-man
3688,ca43a5c5-355b-18e1-ba86-4a199f66c7a3,1507804860,"[22929, 62891, 62892]",Smash Cops,smash-cops,1682824441,https://www.igdb.com/collections/smash-cops
5315,77d4c4f3-c79b-67c2-dd50-65e8a952551b,1516563087,[83380],& Friends,and-friends,1516563087,https://www.igdb.com/collections/and-friends
3675,80bccfcb-6f0c-465b-9e36-1cca8c896e0f,1507801112,"[62905, 65121]",Landing,landing,1684331678,https://www.igdb.com/collections/landing
7684,4f0cdb5f-65ee-141d-5dbe-53ee2a22aee1,1646697780,"[66309, 91901, 91902, 92374]",Zeebo Sports,zeebo-sports,1689494369,https://www.igdb.com/collections/zeebo-sports
1341,313bdce1-df3e-3055-e78a-5308bd0228f7,1430487639,"[640, 15762, 20203]",Codename: Panzers,codename-panzers,1691738958,https://www.igdb.com/collections/codename-panzers
6378,47c3fb3c-3ef5-724a-0253-c463790f1784,1595232287,[124024],Lines,lines,1595232287,https://www.igdb.com/collections/lines
4399,24dc439a-0995-7597-6012-29734b0620e6,1512729824,"[5727, 50059, 71725]",Antz,antz,1685426831,https://www.igdb.com/collections/antz
6460,ddf286f6-1b78-b87e-2228-d8b397562e6f,1599161337,[138250],Sky Jaguar,sky-jaguar,1599161337,https://www.igdb.com/collections/sky-jaguar
1483,b3e141fb-f77f-dd8d-05a1-39d9cbf56a4f,1433803943,"[1385, 11040]",War of the Roses,war-of-the-roses,1433803943,https://www.igdb.com/collections/war-of-the-roses
