id,checksum,game,game_feature,included_feature,note
1482,a89b6083-dc0e-c1b4-8492-8167c8be3dee,44544,366,1,
1483,cafc6ab9-6614-0363-060e-91e79838e004,21229,366,1,
1484,a379386b-5c4b-35a1-77a5-4500ecf2c432,8173,367,0,
1485,60deb0e4-fee5-8745-7694-446ae95e95a0,28061,367,1,
1486,40c7a4cd-ca1c-02f1-2873-077579c0c435,44544,367,1,
1487,3590e337-6f9c-4e1e-233d-e94299feeab0,21229,367,1,
1488,2eacf2e5-6187-1571-1ff3-fe151d5dd007,8173,368,0,
1489,3d7f49e2-98bd-4f22-b546-5a747221d038,28061,368,1,
1490,48476492-0430-d7a5-fe1b-85ccf8b1ac5e,44544,368,1,
1491,fe2720c0-b0b8-b90a-310c-c9202b38f99c,21229,368,1,
1492,80fda216-c8ad-bba8-1b06-8a16d98126f8,8173,369,0,
1493,deb4d377-db42-39a5-fce6-d1bad03e8b7a,28061,369,1,
1494,d33bd88a-d493-1a74-0da8-116524d683ed,44544,369,1,
1495,6ce3a71e-95fd-71f0-395d-32d47295a750,21229,369,1,
1496,44e34b6a-950b-b4fc-eac5-56fa1a6cc276,8173,370,0,
1497,1a37bcee-1859-e66d-7477-7242ae2ee62d,28061,370,1,
1498,e072ef9c-458f-f5f9-ebb1-7701320b27f1,44544,370,1,
1499,85fa7f5e-d391-96cf-4947-1167634d828d,21229,370,1,
1500,cba2dfdf-f676-f735-989f-5ef370482dd1,8173,371,0,
1501,98ac5c9b-0762-b7e5-5816-d828b456c069,28061,371,0,
1502,08592aaa-4365-eb74-b36d-3e7adb0afa9d,44544,371,0,
1503,1c05a66a-b854-41f5-37c3-a30fa00893fc,21229,371,1,
1509,c6403257-d4d6-a89c-90b8-42060f3b0902,1164,373,0,
1510,eaf980dd-f5c2-565e-f781-14fbf0e60f7c,74555,373,0,
1511,23a81aa6-8be6-54a3-a0ce-0c61f6e5989e,53817,373,0,
1512,7cd91ad8-0eb5-d7fe-4088-aa16fedcfecd,19965,373,1,
1513,708fc29f-97cd-0761-3444-115deecf8456,53818,373,1,
1514,82ceab2b-1719-ae11-a4de-8d3f65df757e,1164,374,0,
1515,81854bd2-37b2-7fb9-9118-4ac5442d75fa,74555,374,1,
1516,513eb8d1-d204-0d94-9f85-431d7da39f78,53817,374,1,
1517,8d184d12-73d0-9a11-f16b-f9f81d6c49b8,19965,374,0,
1518,dc919eb5-1343-7481-5917-37d7c10a3bfb,53818,374,0,
1519,91c68964-52fc-ecf9-c743-03fd82d42485,1164,375,0,
1520,d21ada80-ffe5-5d50-d2a5-456cc29dcd7c,74555,375,1,
1521,46963d48-ab84-8dad-6534-ac370a899d45,53817,375,1,
1522,02d3a92f-e5ea-945e-6a4e-835218ee74ba,19965,375,0,
1523,e5780755-b88d-735b-976f-371bd62d6faa,53818,375,0,
1524,294c1635-754a-2330-6604-db118a5e1831,1164,376,0,
1525,09fb3229-7ab5-f24f-35ec-c5f32ba27908,74555,376,1,
1526,dfcec7e6-4902-c389-a6d5-800b190d2469,53817,376,1,
1527,4a52c092-8b64-0178-cc77-58559ec31d5a,19965,376,0,
1528,b51f4706-a4f9-4a3b-dce8-9bbc202a1727,53818,376,0,
1529,d56a99a0-c28a-1859-e662-a38b289d1e27,1164,377,0,
1530,ac36e221-ac58-b1db-cf83-fa031170e85b,74555,377,1,
1531,8cb2000b-2cf3-13aa-a7c5-61857032a730,53817,377,0,
1532,9fef9ffb-dbbf-00e6-7381-7bdb3ee5c8cd,19965,377,0,
1533,7835b35c-9af6-e8ac-f1f6-6a7a7c40f85f,53818,377,0,
1534,9c32447b-4736-67ba-6f14-af9f5d9101e4,1164,378,0,
1535,d9e628e2-64e3-1901-c7ea-d096a0fdc51a,74555,378,1,
1536,124f6c47-4b5a-e1c8-1432-90b1a22f2bbc,53817,378,0,
1537,dcfd56a2-2879-b9cc-1b46-713c554c0787,19965,378,0,
1538,5b651200-0819-49f0-7bc5-d8d2cd9470d5,53818,378,0,
1539,ca613cfd-7fb9-74bd-1538-1d0097c90569,1164,379,0,
1540,32af4ac6-a8b7-6d8e-444b-de4e973b0daf,74555,379,1,
1541,f841d4f6-9162-b0b2-be5e-047efed060f9,53817,379,0,
1542,8d45264b-580f-7815-af58-db2d0d9f8e0f,19965,379,0,
1543,048da051-54d3-db4e-6d43-2e8327116cea,53818,379,0,
1544,000faeee-d6f7-3b5d-2769-dda61cc6d4af,1164,380,0,
1545,56eb8aa7-ad78-70cb-1c24-1cf00fff41d2,74555,380,1,
1546,7e748784-e813-bd9d-eccb-29161fca82b1,53817,380,1,
1547,3a433201-f74b-5fa3-f0bc-a591c337a13d,19965,380,0,
1548,3ea5e8fd-51e9-2725-0ceb-f7fd0535940f,53818,380,0,
1549,5646060e-2435-dd0a-6ce8-bc420d0f553f,1164,381,2,
1550,5c1f40cf-9bd6-d1bd-e442-84bfb304f2f1,74555,381,0,
1551,d20e5fb0-2e55-75c7-c73c-e91a31bfd1d1,53817,381,0,
1552,571a98ac-4445-6fb5-2ee9-54f922763368,19965,381,0,
1553,90cdfb10-ce3e-46cb-12f5-485205abee67,53818,381,0,
1554,9f8d12e9-907b-9598-ee51-4c7c32260d99,1164,382,2,
1555,fc8325b7-e330-c829-c5ca-432d8bd77808,74555,382,0,
1556,cb245676-9ee0-1a1c-0485-c35558505920,53817,382,0,
1557,b156d967-8f7d-7d7e-c233-5921acf83991,19965,382,0,
1558,d89c2211-ff96-19b9-de6e-887e9c60f096,53818,382,0,
1559,b22b0b6d-cd3f-89b3-ebf6-b26042fc1670,1164,383,2,
1560,d07768c7-5bad-b1e5-0815-52341ad0e817,74555,383,0,
1561,56fa2d7b-ef7f-1618-9ef3-83f9ea9bf593,53817,383,0,
1562,b92816ba-d09d-5517-aacd-79e649411b8e,19965,383,0,
1563,a2e650e5-f73b-90e5-8267-806e17dc5a91,53818,383,0,
1564,f0a4d508-215d-9865-77a8-2ab2c7657564,11587,384,0,
1565,3beee26f-dcf2-bb02-0cac-5ab3d44b1d8d,23835,384,,The console version of Absolute Drift
1566,2fbcc743-0df4-0e63-687f-f83272618bcf,6,385,0,
1567,74b31c38-417a-28e1-5d8f-3807089dc8e1,5613,385,1,
1568,6d462f70-b8ce-b4a5-7b4f-169becda29f3,6,386,0,
1569,dccb2270-e11d-2dbb-72a9-e30844d2822e,5613,386,1,
1570,691f67d1-2574-28cb-1e9e-e164341efab8,6,387,0,
1571,aa51d778-91a0-806a-62f9-ea7fa8bc0ecf,5613,387,,A new collection of player character voice sets.
1572,64cfb63c-0a98-36ee-b25f-904df259f32c,6,388,0,
1573,8938b976-cbb0-be57-c92c-9717a424a06e,5613,388,,Native support for high-resolution widescreen displays.
1574,c9bf4cfa-dbdc-15f1-226a-a7a582545788,6,389,0,
1575,cb46abb4-df84-104a-7341-606d8f977bcf,5613,389,,Improved multiplayer support with connectivity between all platforms.
1576,82544251-015e-52f5-6d8b-1d2732a2a916,14292,390,0,
1577,3386d3c1-d355-b0f7-c5ad-963d013b45f4,21813,390,1,
1578,0c939cc6-619a-7832-370c-3af361f32169,52617,390,1,
1579,e5814247-b8a3-a294-dfa8-7472598a7267,14292,391,0,
1580,7f5a2585-6e64-0e73-e33f-eb34b2c5f3a1,21813,391,1,
1581,1db62035-9135-3d01-25a5-9c194d8fbd8f,52617,391,0,
1582,875669b2-62d3-b00e-637e-dc69295415e1,14292,392,0,
1583,ba697398-4336-4bb7-7b76-3c7430a38caa,21813,392,1,
1584,f2baecb1-2ef0-d445-0a36-5932a86de274,52617,392,0,
1585,34255de2-2ad5-b957-f6a8-e91f0582339c,14292,393,0,
1586,478d2b47-f07a-244d-d949-28624e96c14f,21813,393,1,
1587,e56a5e9c-7a07-3784-c6aa-973a52a72bd4,52617,393,0,
1588,573b3947-c707-4be2-4b7e-961cd148eab1,14292,394,0,
1589,83bc8bf5-93e2-e6c3-8d7f-8b1255b139d4,21813,394,1,
1590,e2e097d5-c88d-d6ea-48cf-1f5288f6bbe2,52617,394,0,
1591,bff92bbd-3e07-1148-fd22-6e8c78f55345,14292,395,0,
1592,3e7b3220-6294-444f-37fc-304562e187f5,21813,395,1,
1593,f0702eba-7cb4-7e21-168e-e135bffb3e60,52617,395,0,
1594,aa1f652e-e62e-7b3c-9db5-efeb43163e50,73,396,0,
1595,92ed9378-dff2-701f-5d55-99a8d748e5f3,45179,396,1,
1596,92b63d8e-613a-3bf7-d631-a5b30d2c052e,73,397,0,
1597,e119afeb-f910-b4ed-5403-144dfd277759,45179,397,1,
1598,c3666d53-fe00-f725-e3f6-c7c3fa7104ad,73,398,0,
1599,a19aa96f-2bc1-69b0-8b3c-007fec13bf69,45179,398,1,
1600,ba6dcc29-45c7-6412-ebce-da6731910fb9,19333,399,0,
1601,1f8b5f21-1d23-6566-8d81-c6d48c42108f,52555,399,0,
1602,03572b37-d72c-6e10-c1bd-9409d7296ce6,74318,399,1,
1603,ee29916d-223f-faa0-3d1d-58c5eefd207f,19333,400,0,
1604,098c7cec-6041-da1f-241d-76bba6209fea,52555,400,1,
1605,856b15aa-ffbc-4ef5-72be-800479ae1bc5,74318,400,1,
1606,f175c809-a480-0009-7786-d3182e8762d0,19333,401,0,
1607,1efbcb49-fb59-a8f4-8281-54fd8ce5e0ac,52555,401,0,
1608,1ae9d389-c14b-f6f2-0dec-133503426829,74318,401,1,
1609,c0ffbce6-28af-ab3a-9ef2-a69bd93731f5,19333,402,0,
1610,0cc5750c-3320-c367-792c-50a6214a5adb,52555,402,1,
1611,cfb7adae-4291-06cb-c98c-c75058292039,74318,402,0,
1612,7b41ab33-a19a-4f45-d7ec-9a989726257f,19333,403,0,
1613,bdf1444a-1197-4e2f-0051-da34a3a3230b,52555,403,0,
1614,51f5d1d5-d914-e336-c2f0-f83a5bd1a616,74318,403,,Exclusive to Special Reserve.Limited to 3250 copies on PS4 and PC
1615,4eef91ee-da92-b2ca-74c6-9275b51e1bd6,2151,404,0,
1616,9a0fcdcd-1a02-9dd2-2432-6cfe0b76b096,74897,404,1,
1617,31c24d35-9be6-2633-fe7e-c4ee1795d61b,2151,405,0,
1618,3a941393-a532-bbfe-31a1-56b35c167688,74897,405,1,
1619,0e1ae1e4-5e18-6158-aa99-127ee50bfc8e,2151,406,0,
1620,8a974b13-0f28-b035-0b3d-201fde339f84,74897,406,1,
